Source IP;Source Port;Dest. IP;Dest. Port;Start_Timestamp;End_Timestamp;Duration_Sec;Session_Status;Total_Packets
192.168.1.109;63489;52.182.143.210;443;1781436786.5830708;1781436787.4224782;0.8394;CLOSED;21
192.168.1.109;56166;51.116.246.106;443;1781436787.6412554;Ongoing;N/A;MID-STREAM;22
2001:b07:5d2d:2de4:a112:c0a4:ec5c:e7d;56787;2600:9000:202a:7000:12:bd7a:5b00:93a1;443;1781436790.1204078;1781436804.9322767;14.8119;CLOSED;12
192.168.1.109;63820;91.228.165.159;8883;1781436791.1350112;Ongoing;N/A;MID-STREAM;3
157.90.91.75;443;192.168.1.109;49980;1781436791.8731155;Ongoing;N/A;MID-STREAM;2
2001:b07:5d2d:2de4:a112:c0a4:ec5c:e7d;56842;2a00:1450:4025:1803::5f;443;1781436797.7629697;Ongoing;N/A;MID-STREAM;4
157.90.91.75;443;192.168.1.109;58545;1781436805.899594;Ongoing;N/A;MID-STREAM;2
2001:b07:5d2d:2de4:a112:c0a4:ec5c:e7d;63821;2603:1020:5:9::400;443;1781436806.5066347;Ongoing;N/A;MID-STREAM;3
192.168.1.109;51136;54.234.184.20;443;1781436810.6664753;Ongoing;N/A;MID-STREAM;3
192.168.1.109;63527;79.127.216.203;443;1781436821.3914604;Ongoing;N/A;SYN;1
192.168.1.109;63528;79.127.216.203;443;1781436821.3916366;Ongoing;N/A;SYN;1
192.168.1.109;63529;195.181.175.40;443;1781436821.392366;Ongoing;N/A;SYN;1
192.168.1.109;63530;79.127.216.203;443;1781436821.3930924;Ongoing;N/A;SYN;1
192.168.1.109;63531;79.127.216.203;443;1781436821.394614;Ongoing;N/A;SYN;1
